id	symbol
MS00085	MEIS3
MS00086	Meis2
MS00087	Meis2
MS00088	Meis3
MS00089	Meis3
MS00090	HINFP1
MS00091	PKNOX1
MS00092	PKNOX2
MS00093	Pknox2
MS00094	TGIF1
MS00095	TGIF2LX
MS00096	TGIF2
MS00097	MYBL1
MS00100	MYBL1
MS00101	Hic1
MS00102	MYBL2
MS00103	MYBL2
MS00105	MYBL2
MS00106	NFAT5
MS00110	NFKB1
MS00111	NFKB2
MS00114	NFIB
MS00115	NFIX
MS00117	PAX1
MS00118	PAX2
MS00119	PAX3
MS00121	PAX4
MS00124	KLF13
MS00125	PAX6
MS00126	PAX7
MS00128	PAX9
MS00129	POU1F1
MS00130	POU1F1
MS00131	POU2F1
MS00132	POU2F1
MS00134	POU2F2
MS00135	KLF14
MS00136	POU2F3
MS00137	POU2F3
MS00138	POU3F1
MS00139	POU3F1
MS00140	POU3F2
MS00141	POU3F2
MS00142	POU3F3
MS00143	POU3F3
MS00144	POU3F3
MS00145	POU3F4
MS00146	KLF16
MS00147	POU3F4
MS00148	POU4F1
MS00149	POU4F2
MS00151	POU4F3
MS00152	POU5F1P1
MS00153	POU5F1P1
MS00155	POU6F2
MS00157	Klf12
MS00160	PROX1
MS00161	RFX2
MS00162	RFX2
MS00168	PRDM1
MS00169	RFX5
MS00170	Rfx2
MS00171	Rfx2
MS00173	RUNX2
MS00174	RUNX2
MS00177	RUNX3
MS00179	SCRT1
MS00182	GMEB2
MS00183	GMEB2
MS00186	MGA
MS00188	MGA
MS00190	SCRT2
MS00191	TBR1
MS00192	TBX15
MS00194	TBX19
MS00197	TBX1
MS00201	SNAI2
MS00202	TBX20
MS00207	TBX21
MS00208	TBX21
MS00211	TBX2
MS00212	SP1
MS00213	TBX2
MS00214	TBX4
MS00216	TBX5
MS00217	TBX5
MS00218	T
MS00219	TEAD1
MS00220	TEAD1
MS00221	TEAD3
MS00222	TEAD3
MS00223	SP3
MS00224	TEAD4
MS00227	TFAP2A
MS00228	TFAP2B
MS00229	TFAP2B
MS00230	TFAP2B
MS00235	SP4
MS00239	Tcfap2a
MS00240	Tcfap2a
MS00241	Tcfap2a
MS00243	Ascl2
MS00244	Atoh1
MS00245	BHLHA15
MS00246	SP8
MS00247	BHLHB2
MS00248	BHLHB3
MS00249	BHLHE22
MS00250	BHLHE23
MS00251	BHLHE41
MS00252	Bhlhb2
MS00253	CLOCK
MS00254	FIGLA
MS00255	HES5
MS00256	HES7
MS00258	HEY1
MS00260	HEY2
MS00261	ID4
MS00264	MESP1
MS00265	MLXIPL
MS00266	MLX
MS00267	MNT
MS00268	YY2
MS00269	MYF6
MS00270	Mlx
MS00271	NEUROD2
MS00272	NEUROG2
MS00274	NHLH1
MS00276	OLIG1
MS00277	OLIG2
MS00280	OLIG3
MS00281	SREBF2
MS00282	Srebf1
MS00285	TCF4
MS00287	TFAP4
MS00288	TFE3
MS00289	TFEB
MS00290	ZBED1
MS00291	Tcf21
MS00293	ATF4
MS00294	ATF7
MS00295	Atf4
MS00296	BATF3
MS00299	CEBPD
MS00300	CEBPE
MS00301	ZBTB7A
MS00302	CEBPG
MS00304	CREB3L1
MS00308	CREB3
MS00311	Creb3l2
MS00312	ZBTB7B
MS00313	Creb5
MS00315	DBP
MS00316	Dbp
MS00317	HLF
MS00318	Hlf
MS00319	JDP2
MS00320	JDP2
MS00323	ZBTB7C
MS00324	Jdp2
MS00325	Jdp2
MS00326	MAFF
MS00327	MAFG
MS00330	MAFK
MS00331	MAFK
MS00333	Mafb
MS00334	ZIC1
MS00335	Mafb
MS00336	NFE2
MS00337	NFIL3
MS00338	NRL
MS00339	TEF
MS00342	XBP1
MS00343	FOXB1
MS00346	ZIC3
MS00348	FOXB1
MS00349	FOXC1
MS00350	FOXC1
MS00351	FOXC1
MS00352	FOXC2
MS00354	FOXC2
MS00355	FOXD2
MS00356	FOXD2
MS00357	ZIC4
MS00358	FOXD3
MS00359	FOXD3
MS00360	FOXG1
MS00361	FOXG1
MS00362	FOXI1
MS00366	FOXJ2
MS00367	FOXJ3
MS00369	FOXJ3
MS00370	FOXJ3
MS00371	FOXK1
MS00372	FOXL1
MS00373	FOXL1
MS00375	FOXO1
MS00376	FOXO1
MS00378	FOXO3
